EmpId,EmpName,Dept,Serial,YOB
32163976,Iona,Research and Development,PIC99HTG0GW,1993
12977573,Barbara,Legal Department,CEU35ZFE4FP,1972
11640499,Herrod,Media Relations,LFN08AXW2XW,1995
40884185,Ariel,Accounting,SIA81IRO2AS,1994
47655166,Ethan,Asset Management,XNY74COY3CE,1996
46001682,Giselle,Public Relations,DXG06AAW7NO,1971
18092670,Emerson,Sales and Marketing,KJE63DES5WQ,1988
29784487,Brooke,Human Resources,JVY61MSN9GF,1986
24687133,Byron,Media Relations,YCY55MPB2DA,1977
10700010,Silas,Accounting,UUF82VIH2KM,1976
22594575,Rae,Sales and Marketing,HWP11ELV1KO,1985
36117034,Zachary,Advertising,DJU44SMI8NE,1976
17935129,Avram,Accounting,WKE57IOJ1RC,1994
39617882,Russell,Sales and Marketing,ZLI49CXX5FI,1978
33340122,Leah,Accounting,KXZ96VTF5BH,1973
42322735,Roary,Tech Support,YUO65UYB1SQ,1993
23363694,Steel,Customer Relations,YBT31YGQ3NH,1990
22296515,Ginger,Public Relations,EUZ37CQW4VD,1982
35871144,Nyssa,Media Relations,RNF22CTB6HN,1970
42109176,Jamal,Sales and Marketing,OQD22SFZ5FI,1975
17933480,Paula,Advertising,WDE76SNO8AD,1986
44805517,Pandora,Media Relations,FJY28FSU8TG,1978
34504923,Justine,Payroll,SGF76RRH2SY,1994
42887038,Guinevere,Research and Development,EDQ45YPK2DA,1991
27859374,Jelani,Research and Development,UOG83RGH2NQ,1992
29223044,Stella,Media Relations,XLY12QPE7CQ,1989
25847619,Ryan,Media Relations,JXT17TVF0MI,1990
25616841,Rashad,Public Relations,KIK71RKL2IG,1991
19879283,Cain,Sales and Marketing,FWE30IOE8LT,1974
16470287,Channing,Human Resources,FJQ26WEM3XR,1982
41543487,Iona,Asset Management,HVI63KQF7DN,1990
46983778,Inga,Quality Assurance,MCQ65WMD6IT,1991
44938136,Forrest,Accounting,OKS48LBH3GX,1996
37674790,Wyatt,Sales and Marketing,XFB95YHQ0KJ,1987
41592522,Giselle,Advertising,CGY14OQT1IP,1992
44860383,Wynne,Legal Department,DEN62SCM1JN,1993
11624286,Rhoda,Tech Support,ZGK77MMM3TE,1982
17866399,Dillon,Media Relations,FGH57UNZ8SA,1985
18061826,Orlando,Legal Department,BZC72XLT4HC,1995
11470734,Derek,Legal Department,VQY46RBS2RQ,1998
11638319,Connor,Asset Management,NHF94DGL2AO,1996
20382557,Abigail,Advertising,NSC80QOC6UZ,1978
10093392,Victor,Customer Relations,MNX11YXT8PQ,1975
46337005,Hayes,Sales and Marketing,KKV01NPC8IY,1988
47691036,Ira,Quality Assurance,WKK83LAV7ZJ,1973
27136702,Janna,Public Relations,LID51XBG2SZ,1985
10392951,Lionel,Sales and Marketing,YZC45GFU5HM,1991
48533171,Forrest,Accounting,ANZ33ROT1SN,1995
42072304,Dennis,Accounting,EEK40TLD5FY,1985
28536287,Demetrius,Quality Assurance,MBO09PPR1FD,1981
41414699,Ralph,Asset Management,FKN72HZX9TX,1984
36487631,Robert,Accounting,XOG57NJQ1SR,1982
32384331,Donna,Finances,TYZ98MCY2HS,1998
21806120,Rahim,Advertising,WVS67XQI8XJ,1971
18670512,Lars,Sales and Marketing,DXY95FSU6IQ,1978
18282825,Nolan,Asset Management,LOY08FRX0RR,1974
26105509,Lyle,Tech Support,UMZ81ULY2TX,1982
38494438,Chastity,Human Resources,MCL14UMM4WL,1996
21431310,Meredith,Human Resources,VGJ87KHQ4ES,1976
29112459,Ivana,Public Relations,ESZ06FSW2ZP,1978
34787084,Henry,Sales and Marketing,YPQ47JJY6XQ,1990
29591847,Reuben,Customer Service,WVU47XKV6RC,1986
26112727,Quamar,Research and Development,PNS25FBI7KN,1981
